"","title","id","full.name","name_age","species","gender","age.stage","rs_frequency","author","newID","age.stage.original","age_recoded","all_ages_char","freq_sum"
"1","ALMOND_asongforellagrey_2014","angeline","Angeline / Angelina","Angeline/Angelina_adolescent_char","human","female",15,98,"ALMOND","Angeline__Angelina_ALMOND_char","adolescent","young","young",98
"2","ALMOND_asongforellagrey_2014","bianca","Bianca Finch","BiancaFinch_adolescent_char","human","female",15,415,"ALMOND","Bianca_Finch_ALMOND_char","adolescent","young","young",415
"3","ALMOND_asongforellagrey_2014","carlo","Carlo Brooks","CarloBrooks_adolescent_char","human","male",15,94,"ALMOND","Carlo_Brooks_ALMOND_char","adolescent","young","young",94
"5","ALMOND_asongforellagrey_2014","claire","Claire Wilkinson","ClaireWilkinson_adolescent_char","human","female",15,1295,"ALMOND","Claire_Wilkinson_ALMOND_char","adolescent","young","young young young young young",1393
"6","ALMOND_asongforellagrey_2014","claire17","Claire Wilkinson","ClaireWilkinson_17.0_char","human","female",17,75,"ALMOND","Claire_Wilkinson_ALMOND_char","17","young","young young young young young",1393
"7","ALMOND_asongforellagrey_2014","claire5","Claire Wilkinson","ClaireWilkinson_5.0_char","human","female",5,1,"ALMOND","Claire_Wilkinson_ALMOND_char","5","young","young young young young young",1393
"9","ALMOND_asongforellagrey_2014","claireinfant","Claire Wilkinson","ClaireWilkinson_infant_char","human","female",5,6,"ALMOND","Claire_Wilkinson_ALMOND_char","infant","young","young young young young young",1393
"10","ALMOND_asongforellagrey_2014","crystal","Crystal Carr","CrystalCarr_adolescent_char","human","female",15,133,"ALMOND","Crystal_Carr_ALMOND_char","adolescent","young","young",133
"20","ALMOND_asongforellagrey_2014","fatherclaire","Tom","Tom_adult_char","human","male",45,40,"ALMOND","Tom_ALMOND_char","adult","old","old old",105
"23","ALMOND_asongforellagrey_2014","krakatoa","Krakatoa","Krakatoa_adult_char","human","male",45,133,"ALMOND","Krakatoa_ALMOND_char","adult","old","old",133
"26","ALMOND_asongforellagrey_2014","maria","Maria","Maria_adolescent_char","human","female",15,24,"ALMOND","Maria_ALMOND_char","adolescent","young","young young",62
"32","ALMOND_asongforellagrey_2014","narrator","Claire Wilkinson","ClaireWilkinson_adolescent_char","human","female",15,16,"ALMOND","Claire_Wilkinson_ALMOND_char","adolescent","young","young young young young young",1393
"34","ALMOND_asongforellagrey_2014","paul","Paul","Paul_adolescent_char","human","male",15,23,"ALMOND","Paul_ALMOND_char","adolescent","young","young young",1032
"35","ALMOND_asongforellagrey_2014","sam","Sam Hinds","SamHinds_adolescent_char","human","male",15,147,"ALMOND","Sam_Hinds_ALMOND_char","adolescent","young","young",147
"40","ALMOND_clay_2005","fox","Fox","Fox_adult_char","human","male",45,87,"ALMOND","Fox_ALMOND_char","adult","old","old old",88
"41","ALMOND_clay_2005","frances","Frances Malone","FrancesMalone_adolescent_char","human","female",15,101,"ALMOND","Frances_Malone_ALMOND_char","adolescent","young","young",101
"43","ALMOND_clay_2005","geordie","George Craggs","GeorgeCraggs_adolescent_char","human","male",15,814,"ALMOND","George_Craggs_ALMOND_char","adolescent","young","young",814
"47","ALMOND_clay_2005","maria","Maria O’Callaghan","MariaO’Callaghan_adolescent_char","human","female",15,418,"ALMOND","Maria_O’Callaghan_ALMOND_char","adolescent","young","young",418
